Companies;Company Sectors;Company Headquarters;Countries;Regions;Response Sectors;Backdate;Title;Responded To;Tags;Responded;Authors;URL;Link to Company Page;Story;Response
BHP;Mining|Oil, gas & coal;AU;CO;Americas;Oil, gas & coal;28.04.2020;Response of BHP to the threats to HRD Angélica Ortiz;;Human Rights Defenders;Yes;BHP;https://www.business-humanrights.org/en/latest-news/response-of-bhp-to-the-threats-to-hrd-angélica-ortiz/;https://www.business-humanrights.org/en/companies/bhp-formerly-bhp-billiton/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;UA;;;07.05.2020;Response by adidas;European garment workers producing for German brands continue to face abuse amid COVID-19, report finds, incl. company responses;Living Wage;Yes;;https://www.business-humanrights.org/en/latest-news/response-by-adidas-8/;https://www.business-humanrights.org/en/companies/adidas/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;MM;;Clothing & textile;01.07.2022;adidas' response to allegations of abuses in Myanmar garment factories;Myanmar: Arrests of local union leaders reported at several factories, incl. Pou Chen Myanmar, incl. co. response;Supply Chains;Yes;;https://www.business-humanrights.org/en/latest-news/adidas-response-12/;https://www.business-humanrights.org/en/companies/adidas/;;
Inditex;Clothing & textile|Footwear|Retail;ES;MM;;Clothing & textile;07.07.2022;Inditex's response to allegations of abuses in Myanmar garment factories;"Myanmar: Garment workers at Lucky Fortune garment factory report workers' rights violations incl. denial of permanent contracts & forced overtime without pay; incl. co. Response";Labour Rights;Yes;;https://www.business-humanrights.org/en/latest-news/inditexs-response-4/;https://www.business-humanrights.org/en/companies/inditex/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;MM;;Clothing & textile|Luggage, backpacks & bags;19.07.2022;H&M's response to allegations of abuses in Myanmar garment factories;Myanmar: Workers at Sunrise Myanmar garment factory reportedly face labour violations incl. abuse towards women workers, wage exploitation & denial of leave, incl. co. responses;Labour Rights;Yes;;https://www.business-humanrights.org/en/latest-news/hms-response-10/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
China National Petroleum Corporation (CNPC);Oil, gas & coal;CN;CN;;;02.08.2022;China National Petroleum Corporation (CNPC) did not respond;Civil society report examines rights violations by Chinese business activities in Latin America;Chinese Overseas Investment;No;;https://www.business-humanrights.org/en/latest-news/china-national-petroleum-corporation-cnpc-did-not-respond/;https://www.business-humanrights.org/en/companies/china-national-petroleum-corporation-cnpc/;;
Zijin Mining;Metals & steel|Mining;CN;CN;;;02.08.2022;Zijin Mining Group did not respond;Civil society report examines rights violations by Chinese business activities in Latin America;Chinese Overseas Investment;No;;https://www.business-humanrights.org/en/latest-news/zijin-mining-group-did-not-respond/;https://www.business-humanrights.org/en/companies/zijin-mining/;;
Nestlé;Food & beverage;CH;MX;Americas;Agriculture/food/beverage/tobacco/fishing: General;17.08.2022;Nestlé no respondió sobre los señalamientos de que no ha jugado un papel constructivo en la cafeticultura mexicana;México: Productores cafetaleros en Veracruz señalan que la empresa Nestlé no  ha jugado un papel constructivo en la cafeticultura mexicana;Labour Rights;No;;https://www.business-humanrights.org/en/latest-news/nestlé-no-respondió-sobre-los-señalamientos-de-que-no-ha-jugado-un-papel-constructivo-en-la-cafeticultura-mexicana/;https://www.business-humanrights.org/en/companies/nestlé/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;MM;;Clothing & textile;16.09.2022;H&M's response to allegations of abuses in Myanmar garment factories - September Update;"Myanmar: Garment factories reportedly ordered to dismiss workers from townships resisting military rule; incl. co. Responses";Labour Rights;Yes;;https://www.business-humanrights.org/en/latest-news/hms-september-response-to-allegations-of-abuses-in-myanmar-garment-factories/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;CN|US;;;06.09.2022;adidas responded;Company responses regarding commitments to apply a single global standard aligned with Uyghur Forced Labor Prevention Act (UFLPA);Forced Labour & Modern Slavery;Yes;;https://www.business-humanrights.org/en/latest-news/adidas-response-to-the-uyghur-forced-labour-prevention-act-uflpa/;https://www.business-humanrights.org/en/companies/adidas/;;
Inditex;Clothing & textile|Footwear|Retail;ES;MM;;;14.09.2022;Inditex's response to allegations of abuses in Myanmar garment factories - September Update;Myanmar: Hundreds of garment workers protest for wage increase, reporting increased price of goods, incl. co. response;Labour Rights;Yes;;https://www.business-humanrights.org/en/latest-news/inditexs-september-response-to-allegations-of-abuses-in-myanmar-garment-factories-2/;https://www.business-humanrights.org/en/companies/inditex/;;
Inditex;Clothing & textile|Footwear|Retail;ES;CN|US;;;09.09.2022;Inditex responded;Company responses regarding commitments to apply a single global standard aligned with Uyghur Forced Labor Prevention Act (UFLPA);Labour Rights;Yes;;https://www.business-humanrights.org/en/latest-news/inditexs-response-to-the-uyghur-forced-labour-prevention-act-uflpa/;https://www.business-humanrights.org/en/companies/inditex/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;CN|US;;;09.09.2022;H&M did not respond;Company responses regarding commitments to apply a single global standard aligned with Uyghur Forced Labor Prevention Act (UFLPA);Labour Rights;No;;https://www.business-humanrights.org/en/latest-news/hms-non-response-to-the-uyghur-forced-labour-prevention-act-uflpa/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
Hermès;Clothing & textile|Luggage, backpacks & bags;FR;CN|US;;;15.09.2022;Hermès responded;Company responses regarding commitments to apply a single global standard aligned with Uyghur Forced Labor Prevention Act (UFLPA);Labour Rights;Yes;;https://www.business-humanrights.org/en/latest-news/hermes-non-response-to-uyghur-forced-labour-prevention-act-uflpa/;https://www.business-humanrights.org/en/companies/hermès/;;
LVMH Moët Hennessy – Louis Vuitton;Clothing & textile|Jewellery|Luggage, backpacks & bags|Perfume|Wineries;FR;CN|US;;;09.09.2022;LVMH Group responded;Company responses regarding commitments to apply a single global standard aligned with Uyghur Forced Labor Prevention Act (UFLPA);Labour Rights;Yes;;https://www.business-humanrights.org/en/latest-news/lvmh-groups-response-to-uyghur-forced-labour-prevention-act-uflpa/;https://www.business-humanrights.org/en/companies/lvmh-moët-hennessy-louis-vuitton/;;
Nike;Clothing & textile|Footwear|Sporting goods;US;CN|US;;;16.09.2022;Nike responded;Company responses regarding commitments to apply a single global standard aligned with Uyghur Forced Labor Prevention Act (UFLPA);Labour Rights;No;;https://www.business-humanrights.org/en/latest-news/nikes-non-response-to-uyghur-forced-labour-prevention-act-uflpa/;https://www.business-humanrights.org/en/companies/nike/;;
Rio Tinto;Mining;GB;PG;;Mining;19.09.2022;Rio Tinto statement on Panguna Mine Preparatory Phase report;Papua New Guinea: New report highlights tailings collapse risk at Rio Tinto's former Panguna mine;Clean, Healthy & Sustainable Environment|Violation of environmental safety standards;Yes;Rio Tinto;https://www.business-humanrights.org/en/latest-news/rio-tinto-statement-on-panguna-mine-preparatory-phase-report/;https://www.business-humanrights.org/en/companies/rio-tinto/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;GO;;;21.09.2022;H&M's response to BHRRC report on freedom of association in garment supply chains;;Freedom of Association;Yes;;https://www.business-humanrights.org/en/latest-news/hm-response-to-bhrrc-report-on-freedom-of-association-in-garment-supply-chains/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;GO;;;23.09.2022;adidas' response to BHRRC report on freedom of association in garment supply chains;Asia: Brand, retailer and supplier responses to BHRRC report on freedom of association in garment supply chains;Freedom of Association;Yes;;https://www.business-humanrights.org/en/latest-news/adidas-response-to-bhrrc-report-on-freedom-of-association-in-garment-supply-chains/;https://www.business-humanrights.org/en/companies/adidas/;;
Nestlé;Food & beverage;CH;BR;Americas;Palm trees & oil;25.10.2022;Nestlé's response on alleged palm oil supply chain violations;Brazil: 20 international brands named by Global Witness as major buyers of palm oil from producers linked to alleged human rights violations;Access to Water|Complicity|Human Rights and Environmental Due Diligence (HREDD)|Indigenous Peoples|Intimidation|Land Rights|Mandatory Due Diligence (mHREDD)|Personal Health|Supply Chains;Yes;;https://www.business-humanrights.org/en/latest-news/nestlés-response-on-alleged-palm-oil-supply-chain-violations/;https://www.business-humanrights.org/en/companies/nestlé/;;
PepsiCo;Food & beverage;US;BR;Americas;Palm trees & oil;25.10.2022;PepsiCo's response on alleged palm oil supply chain violations;Brazil: 20 international brands named by Global Witness as major buyers of palm oil from producers linked to alleged human rights violations;Access to Water|Complicity|Human Rights and Environmental Due Diligence (HREDD)|Indigenous Peoples|Intimidation|Land Rights|Mandatory Due Diligence (mHREDD)|Personal Health|Supply Chains;Yes;;https://www.business-humanrights.org/en/latest-news/pepsicos-response-on-alleged-palm-oil-supply-chain-violations/;https://www.business-humanrights.org/en/companies/pepsico/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;MM;;;04.11.2022;H&M's response to allegations of abuses in Myanmar garment factories - October Update;"Myanmar: Workers at H&M supplier allegedly forced to 'walk on their knees' as punishment for failing to meet production targets; incl. co. Response";Labour Rights;Yes;;https://www.business-humanrights.org/en/latest-news/hms-response-to-allegations-of-abuses-in-myanmar-garment-factories-october-update/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
Inditex;Clothing & textile|Footwear|Retail;ES;MM;;;04.11.2022;Inditex's response to allegations of abuses in Myanmar garment factories - October Update;;Labour Rights;Yes;;https://www.business-humanrights.org/en/latest-news/inditexs-response-to-allegations-of-abuses-in-myanmar-garment-factories-october-update/;https://www.business-humanrights.org/en/companies/inditex/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;MM;;;04.11.2022;adidas' response to allegations of abuses in Myanmar garment factories - October Update;Myanmar: Over 2,000 workers at adidas supplier factory protest for wage increase, union recognition & improved working conditions, incl. co. response;Labour Rights;Yes;;https://www.business-humanrights.org/en/latest-news/adidas-response-to-allegations-of-abuses-in-myanmar-garment-factories-october-update/;https://www.business-humanrights.org/en/companies/adidas/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;IN;;;07.11.2022;H&M's response to BHRRC Gender-based violence & Harassment report six-month update via AFWA;;Gender Discrimination|Rape & sexual abuse|Sexual harassment|Violence;Yes;;https://www.business-humanrights.org/en/latest-news/hms-response-to-bhrrc-gender-based-violence-harassment-report-six-month-update-via-afwa/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;PH;;Clothing & textile;04.11.2022;adidas' response;Philippines: Factories that supply to global brands allegedly sack about 4,000 workers without social dialogue, companies respond;Dismissal|Labour Rights;Yes;William Anderson, Vice President, Global Social & Environmental Affairs;https://www.business-humanrights.org/en/latest-news/adidas-response-14/;https://www.business-humanrights.org/en/companies/adidas/;;
TotalEnergies (formerly Total);Energy|Hydrogen|Oil, gas & coal;FR;UG;Africa;Oil, gas & coal;10.12.2022;TotalEnergies' response to Just Finance International's report;Uganda: HRW raises concerns over EACOP impacts on communities;Clean, Healthy & Sustainable Environment|Land Rights|UN Guiding Principles on Business & Human Rights (UNGPs);Yes;TotalEnergies;https://www.business-humanrights.org/en/latest-news/totalenergies-response-to-just-finance-internationals-report/;https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/;;
Vale;Energy|Metals & steel|Mining|Oil, gas & coal;BR;ID;;;12.12.2022;Vale's response;"Indonesia: Tesla's nickel transactions with Chinese companies leave trails of pollution and environmental suffering; incl. company responses";Clean, Healthy & Sustainable Environment;Yes;;https://www.business-humanrights.org/en/latest-news/vales-response-2/;https://www.business-humanrights.org/en/companies/vale/;;
ExxonMobil;Oil, gas & coal;US;US;;Oil, gas & coal;14.12.2022;ExxonMobil's response to ERI briefing about SLAPPs & judicial harassment;"USA: EarthRights International identifies 152 cases of SLAPPs & judicial harassment by the fossil fuel industry in the past decade; incl. co. Responses";Freedom of Expression|Judicial system|Lawsuits & regulatory action|Strategic lawsuits against public participation (SLAPPs);Yes;ExxonMobil;https://www.business-humanrights.org/en/latest-news/exxonmobils-response-to-eri-briefing-about-slapps-judicial-harassment/;https://www.business-humanrights.org/en/companies/exxonmobil/;;
Inditex|Zara (part of Inditex);Clothing & textile|Footwear|Retail;ES;MM;;;19.01.2023;Inditex's response to allegations of abuses in Myanmar garment factories - February update;"Myanmar: Workers at Kaixi Myanmar factory report no drinking water or supplies available at factory; incl. co. Responses";Labour Rights;Yes;;https://www.business-humanrights.org/en/latest-news/zaras-response-to-allegations-of-abuses-in-myanmar-garment-factories-february-update/;https://www.business-humanrights.org/en/companies/inditex/|https://www.business-humanrights.org/en/companies/zara-part-of-inditex/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;MM;;;19.01.2023;H&M's response to allegations of abuses in Myanmar garment factories - February Update;"Myanmar: Garment workers allege Workplace Coordination Committees in factories work in collusion with employers to 'oppress' workers; incl. co. Responses";Labour Rights;Yes;;https://www.business-humanrights.org/en/latest-news/hms-response-to-allegations-of-abuses-in-myanmar-garment-factories-february-update/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
Zijin Mining;Metals & steel|Mining;CN;CN;;;09.01.2023;Zijin Mining did not respond;Chinese migrant workers subject to exploitative and restrictive labour conditions in Belt & Road projects, watchdog group says;Chinese Overseas Investment;No;;https://www.business-humanrights.org/en/latest-news/zijin-mining-did-not-respond/;https://www.business-humanrights.org/en/companies/zijin-mining/;;
ExxonMobil;Oil, gas & coal;US;MM;;Oil, gas & coal;20.12.2022;ExxonMobil's response;Myanmar: Report tracks cos involved in the aviation fuel supply chain amid findings that the military relies on fuel to power aircraft used in unlawful air strikes;Complicity|Killings|Security Issues & Conflict Zones;Yes;;https://www.business-humanrights.org/en/latest-news/exxonmobils-response-3/;https://www.business-humanrights.org/en/companies/exxonmobil/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;MM;;;27.01.2023;adidas' response to allegations of abuses in Myanmar Pou Chen factory - January 2023 Update;Myanmar: Over 2,000 workers at adidas supplier factory protest for wage increase, union recognition & improved working conditions, incl. co. response;Labour Rights;Yes;;https://www.business-humanrights.org/en/latest-news/adidas-response-to-allegations-of-abuses-in-myanmar-pou-chen-factory-january-2023-update/;https://www.business-humanrights.org/en/companies/adidas/;;
Glencore;Metals & steel|Mining|Oil, gas & coal;CH;CH|RU|UA;Europe & Central Asia;Oil, gas & coal;27.01.2023;Glencore response;CSO coalition urges companies engaged in business with Russia to take immediate steps in response to ongoing war against Ukraine, incl. cos. responses & non-responses;Divestment|Security Issues & Conflict Zones|Trade;Yes;Glencore;https://www.business-humanrights.org/en/latest-news/glencore-response-6/;https://www.business-humanrights.org/en/companies/glencore/;;
TotalEnergies (formerly Total);Energy|Hydrogen|Oil, gas & coal;FR;TZ|UG;;;02.02.2023;TotalEnergies' response to Just Finance International's rejoinder;Uganda: HRW raises concerns over EACOP impacts on communities;Free, prior & informed consent;Yes;TotalEnergies;https://www.business-humanrights.org/en/latest-news/totalenergies-response-to-just-finance-internationals-rejoinder/;https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/;;
Stellantis;Automobile & other motor vehicles;NL;CN;;;24.01.2023;Stellantis responded to the allegations against Opel, Peugeot, Fiat, Jeep and Chrysler;Report traces links between major car brands' supply chains & companies linked to alleged abuses in Uyghur region;Forced Labour & Modern Slavery;Yes;;https://www.business-humanrights.org/en/latest-news/stellantis-responded-to-the-allegations-against-opel-peugeot-fiat-jeep-and-chrysler/;https://www.business-humanrights.org/en/companies/stellantis/;;
Volkswagen;Automobile & other motor vehicles;DE;CN;;Automobile & other motor vehicles;27.01.2023;Volkswagen responded to the allegations against Volkswagen, Bentley, SEAT, Audi and FAW-Volkswagen;Report traces links between major car brands' supply chains & companies linked to alleged abuses in Uyghur region;Forced Labour & Modern Slavery|Labour Rights|Supply Chains|Workers/Employees;Yes;;https://www.business-humanrights.org/en/latest-news/volkswagen-responded-to-the-allegations-against-volkswagen-bentley-seat-audi-and-faw-volkswagen/;https://www.business-humanrights.org/en/companies/volkswagen/;;
Toyota;Automobile & other motor vehicles|Hydrogen;JP;CN;;;06.02.2023;Toyota did not respond;Report traces links between major car brands' supply chains & companies linked to alleged abuses in Uyghur region;Forced Labour & Modern Slavery;No;;https://www.business-humanrights.org/en/latest-news/toyota-did-not-respond/;https://www.business-humanrights.org/en/companies/toyota/;;
PepsiCo;Food & beverage;US;RU|US;Europe & Central Asia;Food & beverage;17.02.2023;PepsiCo response;CSO coalition urges companies engaged in business with Russia to take immediate steps in response to ongoing war against Ukraine, incl. cos. responses & non-responses;Complicity|Divestment|Security Issues & Conflict Zones|Trade|UN Guiding Principles on Business & Human Rights (UNGPs);Yes;PepsiCo;https://www.business-humanrights.org/en/latest-news/pepsico-response-6/;https://www.business-humanrights.org/en/companies/pepsico/;;
Inditex|OYSHO (part of Inditex)|Pull & Bear (part of Inditex)|Stradivarius (part of Inditex)|Zara (part of Inditex);Clothing & textile|Footwear|Retail;ES;MM;;Clothing & textile;03.03.2023;Inditex's response to allegations of abuses in Myanmar garment factories - March 2023 Update;"Myanmar: Myanmar Lucky Fortune factory allegedly rejects worker votes for Workplace Coordination Committee to ensure employer-preferred candidates win; incl. co. Responses";Labour Rights;Yes;;https://www.business-humanrights.org/en/latest-news/inditexs-response-to-allegations-of-abuses-in-myanmar-garment-factories-february-2023-update/;https://www.business-humanrights.org/en/companies/inditex/|https://www.business-humanrights.org/en/companies/oysho/|https://www.business-humanrights.org/en/companies/pull-bear-part-of-inditex/|https://www.business-humanrights.org/en/companies/stradivarius-inditex/|https://www.business-humanrights.org/en/companies/zara-part-of-inditex/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;MM;;;01.03.2023;H&M's response to allegations of abuses in Myanmar garment factories - March 2023 Update;"Myanmar: Myanmar Jiale Fashion Garment factory accused of workers' rights violations incl. wage cuts & collusion between Workplace Coordination Committee and employer; incl. co. Responses";Labour Rights;Yes;;https://www.business-humanrights.org/en/latest-news/hms-response-to-allegations-of-abuses-in-myanmar-garment-factories-march-2023-update/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;GB|RU|TR;Europe & Central Asia;Oil, gas & coal;02.03.2023;Shell plc response;Shell & Vitol allegedly deliver Russian oil to Europe through Turkey despite EU embargo, new investigation reveals, incl. cos. comments;Sanctions|Security Issues & Conflict Zones|Trade;Yes;Shell plc;https://www.business-humanrights.org/en/latest-news/shell-plc-response/;https://www.business-humanrights.org/en/companies/shell-plc/;;
Nestlé;Food & beverage;CH;ID;;Food & beverage;27.02.2023;Nestlé response;"Indonesia: RAN reports abuse of Indigenous rights of Long Isun Village by timber companies allegedly controlled by Harita Group and calls for sourcing global brands to engage; incl. co. Responses";Free, prior & informed consent|Indigenous Peoples|Land Rights|Supply Chains;Yes;Nestlé;https://www.business-humanrights.org/en/latest-news/nestlé-response-10/;https://www.business-humanrights.org/en/companies/nestlé/;;
PepsiCo;Food & beverage;US;ID;;Food & beverage;27.02.2023;PepsiCo did not respond;"Indonesia: RAN reports abuse of Indigenous rights of Long Isun Village by timber companies allegedly controlled by Harita Group and calls for sourcing global brands to engage; incl. co. Responses";Free, prior & informed consent|Indigenous Peoples|Land Rights|Supply Chains;No;;https://www.business-humanrights.org/en/latest-news/pepsico-did-not-respond/;https://www.business-humanrights.org/en/companies/pepsico/;;
PepsiCo;Food & beverage;US;US;;Food & beverage;13.03.2023;Response from PepsiCo to allegations of child labour in its supply chain;"USA: Investigation finds migrant children working in factories in violation of child labour laws; incl. co. Responses";Child labour|Labour Rights|Migrants & Immigrants;Yes;PepsiCo;https://www.business-humanrights.org/en/latest-news/response-from-pepsico-to-allegations-of-child-labour-in-its-supply-chain/;https://www.business-humanrights.org/en/companies/pepsico/;;
Vale;Energy|Metals & steel|Mining|Oil, gas & coal;BR;BR;;Hydropower & dam projects|Mining;31.03.2023;Resposta da Vale sobre suposta falta de auditoria em indenizações pagas pela Fundação Renova;"Brasil: Indenizações pagas pela Fundação Renova a pessoas atingidas por Mariana não passaram por auditoria externa ""séria e independente"", diz MPF";Access to Water|Clean, Healthy & Sustainable Environment|Displacement|Soil pollution|Water pollution;Yes;;https://www.business-humanrights.org/en/latest-news/resposta-da-vale-sobre-suposta-falta-de-auditoria-em-indenizações-pagas-pela-fundação-renova/;https://www.business-humanrights.org/en/companies/vale/;;
BHP;Mining|Oil, gas & coal;AU;BR;;Hydropower & dam projects|Mining;30.03.2023;Resposta da BHP sobre suposta falta de auditoria em indenizações pagas pela Fundação Renova;"Brasil: Indenizações pagas pela Fundação Renova a pessoas atingidas por Mariana não passaram por auditoria externa ""séria e independente"", diz MPF";Access to Water|Clean, Healthy & Sustainable Environment|Displacement|Impact Assessment|Soil pollution|Water pollution;Yes;;https://www.business-humanrights.org/en/latest-news/resposta-da-bhp-sobre-suposta-falta-de-auditoria-em-indenizações-pagas-pela-fundação-renova/;https://www.business-humanrights.org/en/companies/bhp-formerly-bhp-billiton/;;
Vale;Energy|Metals & steel|Mining|Oil, gas & coal;BR;ID;;Metals & steel|Mining;12.04.2023;Vale's response to Trend Asia's report;Indonesia: Unsafe working conditions at Chinese-owned nickel smelters led to 76 injuries and 57 deaths from 2015 to 2020, CSO report shows;Occupational Health & Safety;Yes;Vale;https://www.business-humanrights.org/en/latest-news/vales-response-to-trend-asias-report/;https://www.business-humanrights.org/en/companies/vale/;;
Glencore;Metals & steel|Mining|Oil, gas & coal;CH;CO;Americas;Oil, gas & coal;26.04.2023;Response from Glencore regarding the threats against Yazmín Romero Epiayú;;Human Rights Defenders;Yes;;https://www.business-humanrights.org/en/latest-news/no-response-from-glencore-regarding-the-threats-against-yazmín-romero-epiayú/;https://www.business-humanrights.org/en/companies/glencore/;;
Toyota;Automobile & other motor vehicles|Hydrogen;JP;PH;;Automobile & other motor vehicles;21.04.2023;Toyota did not respond;Philippines: Reports allege human rights & environmental violations of sourcing nickel in Rio Tuba, Palawan for electric vehicle battery;Clean, Healthy & Sustainable Environment|Free, prior & informed consent|Indigenous Peoples;No;;https://www.business-humanrights.org/en/latest-news/toyota-did-not-respond-2/;https://www.business-humanrights.org/en/companies/toyota/;;
Volkswagen;Automobile & other motor vehicles;DE;ID;;Automobile & other motor vehicles;11.04.2023;Volkswagen Group's response;Indonesia: Nickel industry for electric car batteries has led to environmental & human rights concerns;Clean, Healthy & Sustainable Environment|Supply Chains;Yes;;https://www.business-humanrights.org/en/latest-news/volkswagen-groups-response-2/;https://www.business-humanrights.org/en/companies/volkswagen/;;
Mercedes-Benz Group;Automobile & other motor vehicles;DE;ID;;Automobile & other motor vehicles;21.04.2023;Mercedes-Benz's response;Indonesia: Nickel industry for electric car batteries has led to environmental & human rights concerns;Clean, Healthy & Sustainable Environment|Supply Chains;Yes;;https://www.business-humanrights.org/en/latest-news/mercedes-benzs-response/;https://www.business-humanrights.org/en/companies/mercedes-benz-group/;;
TotalEnergies (formerly Total);Energy|Hydrogen|Oil, gas & coal;FR;UG;;Oil, gas & coal;02.05.2023;Response from TotalEnergies to Human Rights Defenders & Business in 2022 briefing;Human rights defenders protecting our planet from irresponsible business activity under sustained attack;Clean, Healthy & Sustainable Environment|Freedom of Assembly|Human Rights Defenders;Yes;TotalEnergies;https://www.business-humanrights.org/en/latest-news/response-from-totalenergies-to-human-rights-defenders-business-in-2022-briefing/;https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/;;
Glencore;Metals & steel|Mining|Oil, gas & coal;CH;CD;;Mining|Natural Resources: General;10.04.2023;Glencore's response;;Living Wage|Minimum Wage;Yes;Glencore;https://www.business-humanrights.org/en/latest-news/glencores-response-4/;https://www.business-humanrights.org/en/companies/glencore/;;
Zijin Mining;Metals & steel|Mining;CN;RS;;Mining;02.05.2023;Zijin Mining responded;Serbia: An environmental activist group has alleged that Zijin Mining is causing pollution in a village located in Serbia;Air pollution|Impact Assessment|Insufficient/inadequate consultation|Personal Health|Violation of environmental safety standards;Yes;Zijin Mining;https://www.business-humanrights.org/en/latest-news/zijin-mining-responded/;https://www.business-humanrights.org/en/companies/zijin-mining/;;
Glencore;Metals & steel|Mining|Oil, gas & coal;CH;ID;;;12.06.2023;Glencore's response;"Indonesia: Communities and CSOs demand environmental and social accountability as Harita Group's nickel subsidiary goes public; incl. company responses";Clean, Healthy & Sustainable Environment;Yes;Glencore;https://www.business-humanrights.org/en/latest-news/glencores-response-5/;https://www.business-humanrights.org/en/companies/glencore/;;
Saudi Aramco;Oil, gas & coal;SA;IN;Asia & Pacific;Oil, gas & coal;27.06.2023;Saudi Aramco did not respond;India: Villagers protest about impacts on livelihoods as threats of deforestation, pollution & water access from proposed Saudi-backed petrochemical refinery increase, co. did not respond;Air pollution|Impact on notable or protected areas|Protests;No;;https://www.business-humanrights.org/en/latest-news/saudi-aramco-did-not-respond/;https://www.business-humanrights.org/en/companies/saudi-aramco/;;
Toyota;Automobile & other motor vehicles|Hydrogen;JP;JP;Global;Automobile & other motor vehicles;23.06.2023;Toyota did not respond;Converging Struggles: Activists Unite for Climate, Labor, and Indigenous Rights in Auto Supply Chains;Climate Justice;No;;https://www.business-humanrights.org/en/latest-news/toyota-did-not-respond-3/;https://www.business-humanrights.org/en/companies/toyota/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;RU;Europe & Central Asia;Oil, gas & coal;14.07.2023;Shell response;Russia: Shell accused of making hundreds of millions trading gas since invasion of Ukraine, incl. company response;Conflict & Peace|Sanctions;Yes;Shell plc;https://www.business-humanrights.org/en/latest-news/shell-response-10/;https://www.business-humanrights.org/en/companies/shell-plc/;;
Inditex|SYSG Garment;Clothing & textile|Footwear|Retail;ES|KH;KH;Southeast Asia;Clothing & textile;17.07.2023;Inditex's response re. allegations of union busting in its supplier;Cambodia: SYSG garment factory dismisses union leader after union formation while union complains for reinstatement, incl. Inditex's response;Dismissal|Freedom of Association|Labour Rights;Yes;Inditex;https://www.business-humanrights.org/en/latest-news/inditexs-response-re-allegations-of-union-busting-in-its-supplier/;https://www.business-humanrights.org/en/companies/inditex/|https://www.business-humanrights.org/en/companies/sysg-garment/;;
Volkswagen;Automobile & other motor vehicles;DE;CN;;;18.07.2023;Antwort von Volkswagen zu Audit-Plänen in China;"Association of Critical Shareholders raises questions to Volkswagen about the announced audit of the VW SAIC plant in China; incl company response";Forced Labour & Modern Slavery|Social Audits;Yes;;https://www.business-humanrights.org/en/latest-news/antwort-von-volkswagen-zu-audit-plänen-in-china/;https://www.business-humanrights.org/en/companies/volkswagen/;;
TotalEnergies (formerly Total);Energy|Hydrogen|Oil, gas & coal;FR;PE;;Oil, gas & coal;24.07.2023;TotalEnergies response to the the Kichwa organisations' allegations;Peru: Kichwa organisations allege that TotalEnergies has been contributing to the violation of the rights of Indigenous peoples;Access to Information|Free, prior & informed consent|Indigenous Peoples|Land Rights;Yes;;https://www.business-humanrights.org/en/latest-news/totalenergies-response-to-the-the-kichwa-organisations-allegations/;https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/;;
Inditex;Clothing & textile|Footwear|Retail;ES;MM;;Clothing & textile;31.07.2023;Inditex's response to allegations of abuse against unionists & labour activists at Myanmar supplier;Myanmar: Eight union leaders & labour rights activists at Inditex supplier face trial on incitement charges;Labour Rights;Yes;;https://www.business-humanrights.org/en/latest-news/inditexs-response-to-allegations-of-abuse-against-unionists-labour-activists-at-myanmar-supplier/;https://www.business-humanrights.org/en/companies/inditex/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;PH;;Clothing & textile;02.08.2023;adidas' response;Philippines: 4,100 workers lost jobs due to closure of factories that supply to adidas, incl. cos. responses;Dismissal|Labour Rights|Supply Chains;Yes;;https://www.business-humanrights.org/en/latest-news/adidas-response-16/;https://www.business-humanrights.org/en/companies/adidas/;;
